0,25.48841937,51.45016834
0.5,25.48845716,51.45014416
1,25.48849357,51.45011754
1.5,25.48852979,51.4500906
2,25.48856665,51.45006467
2.5,25.48860422,51.45004001
3,25.48864244,51.4500167
3.5,25.48868084,51.44999369
4,25.4887191,51.44997037
4.5,25.48875756,51.44994744
5,25.48879594,51.44992447
5.5,25.48883417,51.44990117
6,25.48887249,51.44987809
6.5,25.4889107,51.44985474
7,25.4889489,51.44983146
7.5,25.48898712,51.44980825
8,25.48902524,51.44978482
8.5,25.48906335,51.44976138
9,25.48910151,51.44973804
9.5,25.48913971,51.44971482
10,25.48917779,51.4496913
10.5,25.48921592,51.4496678
11,25.48925426,51.44964473
11.5,25.48929241,51.44962127
12,25.48933106,51.44959879
12.5,25.48936942,51.44957567
13,25.48940731,51.44955162
13.5,25.48944553,51.44952823
14,25.48948371,51.44950483
14.5,25.48952183,51.44948134
15,25.48955997,51.44945787
15.5,25.48959809,51.44943428
16,25.48963615,51.44941063
16.5,25.48967423,51.44938704
17,25.48971235,51.44936354
17.5,25.48975056,51.44934013
18,25.48978883,51.44931681
18.5,25.48982699,51.4492933
19,25.48986526,51.44926999
19.5,25.48990344,51.4492466
20,25.4899416,51.44922311
20.5,25.48997984,51.4491999
21,25.49001801,51.44917654
21.5,25.49005616,51.44915317
22,25.4900943,51.44912976
22.5,25.49013246,51.44910641
23,25.49017054,51.44908289
23.5,25.49020864,51.44905944
24,25.49024671,51.4490359
24.5,25.49028478,51.44901239
25,25.49032284,51.44898878
25.5,25.49036081,51.44896505
26,25.4903988,51.44894138
26.5,25.49043683,51.44891776
27,25.49047481,51.44889409
27.5,25.49051286,51.4488705
28,25.49055093,51.44884695
28.5,25.49058903,51.44882334
29,25.49062711,51.44879972
29.5,25.49066521,51.44877618
30,25.49070332,51.44875265
30.5,25.49074145,51.44872915
31,25.49077954,51.44870559
31.5,25.4908177,51.44868207
32,25.49085568,51.44865846
32.5,25.49089366,51.44863496
33,25.4909317,51.44861152
33.5,25.49096972,51.44858809
34,25.49100781,51.44856468
34.5,25.49104597,51.44854137
35,25.49108411,51.44851807
35.5,25.49112227,51.44849472
36,25.49116041,51.44847133
36.5,25.49119856,51.44844793
37,25.49123667,51.44842447
37.5,25.49127477,51.44840094
38,25.49131286,51.44837734
38.5,25.49135099,51.44835385
39,25.49138905,51.44833023
